org,start,end,mode,alpPrimary,alp2PP,coalition,coalition2PP,sampleSize
AC Nielsen,18-Jun,19-Jun,telephone,42,52,43,48,1419
AC Nielsen,16-Jul,18-Jul,telephone,40,52,44,48,1414
AC Nielsen,13-Aug,15-Aug,telephone,39,53,42,47,1414
AC Nielsen,3-Sep,5-Sep,telephone,40,50,46,50,1414
AC Nielsen,14-Sep,16-Sep,telephone,40,49,48,51,1414
AC Nielsen,21-Sep,23-Sep,telephone,36,46,50,54,1417
AC Nielsen,1-Oct,3-Oct,telephone,39,48,48,52,1397
AC Nielsen,5-Oct,7-Oct,telephone,37,46,49,54,2029
Galaxy,24-Jul,26-Jul,telephone,39,49,45,51,996
Galaxy,6-Aug,8-Aug,telephone,36,46,47,54,996
Galaxy,20-Aug,22-Aug,telephone,39,50,43,50,996
Galaxy,3-Sep,5-Sep,telephone,39,48,47,52,1000
Galaxy,17-Sep,19-Sep,telephone,41,49,46,51,1010
Galaxy,1-Oct,3-Oct,telephone,39,48,45,52,1000
Galaxy,5-Oct,6-Oct,telephone,39,48,46,52,1200
Newspoll,18-Jun,20-Jun,telephone,43,52,43,48,1155
Newspoll,2-Jul,4-Jul,telephone,41,51,43,49,1147
Newspoll,16-Jul,18-Jul,telephone,40,51,43,49,1138
Newspoll,30-Jul,1-Aug,telephone,40,50,45,50,1140
Newspoll,13-Aug,15-Aug,telephone,42,54,39,46,1145
Newspoll,27-Aug,29-Aug,telephone,40,52,43,48,1145
Newspoll,3-Sep,5-Sep,telephone,40,50,45,50,1734
Newspoll,10-Sep,12-Sep,telephone,40,50,46,50,1707
Newspoll,17-Sep,19-Sep,telephone,41,52.5,43,47.5,1674
Newspoll,24-Sep,26-Sep,telephone,40,52,43,48,1701
Newspoll,1-Oct,3-Oct,telephone,39,49.5,46,50.5,1680
Newspoll,6-Oct,7-Oct,telephone,39,50,45,50,2500
Roy Morgan,19-Jun,27-Jun,face-to-face,45.5,54,41,46,1264
Roy Morgan,3-Jul,4-Jul,face-to-face,43.5,51.5,42.5,48.5,1095
Roy Morgan,10-Jul,11-Jul,face-to-face,46,54,41.5,46,1055
Roy Morgan,17-Jul,25-Jul,face-to-face,42,53,41.5,47,2029
Roy Morgan,31-Jul,8-Aug,face-to-face,43,53.5,40,46.5,1909
Roy Morgan,14-Aug,22-Aug,face-to-face,43.5,55.5,39,44.5,1926
Roy Morgan,28-Aug,5-Sep,face-to-face,43,56,38.5,44,1866
Roy Morgan,11-Sep,12-Sep,face-to-face,43.5,54.5,40,45.5,933
Roy Morgan,18-Sep,19-Sep,face-to-face,41,53,42.5,47,1046
Roy Morgan,25-Sep,26-Sep,face-to-face,40,50,44,50,1323
Roy Morgan,2-Oct,3-Oct,face-to-face,40.5,51.5,41.5,48.5,1019
Roy Morgan,7-Oct,8-Oct,telephone,38.5,51,45.5,49,1311
ANU,12-Sep,12-Sep,internet,44,54,37,46,273
ANU,13-Sep,13-Sep,internet,43,54,42,47,621
ANU,14-Sep,14-Sep,internet,43,52,41,48,834
ANU,15-Sep,15-Sep,internet,39,49,46,51,777
ANU,16-Sep,16-Sep,internet,41,51,42.5,49,822
ANU,17-Sep,17-Sep,internet,39,50,43,50,691
ANU,18-Sep,18-Sep,internet,37,47.5,42,52.5,397
ANU,19-Sep,19-Sep,internet,37,49,43,51,367
ANU,20-Sep,20-Sep,internet,41,53,41,47,664
ANU,21-Sep,21-Sep,internet,45,56,40,44,719
ANU,22-Sep,22-Sep,internet,45,55,39,45,756
ANU,23-Sep,23-Sep,internet,41,51,42,49,747
ANU,24-Sep,24-Sep,internet,45,54,41,46,604
ANU,25-Sep,25-Sep,internet,40,52,40,48,419
ANU,26-Sep,26-Sep,internet,42,52,37,48,340
ANU,27-Sep,27-Sep,internet,41,50,41,50,710
ANU,28-Sep,28-Sep,internet,41,53,41.5,47,765
ANU,29-Sep,29-Sep,internet,45,58,38.5,42,805
ANU,30-Sep,30-Sep,internet,44,54,40.5,46,871
ANU,1-Oct,1-Oct,internet,43,54,40,46,839
ANU,2-Oct,2-Oct,internet,42,53,40,47,582
ANU,3-Oct,3-Oct,internet,43,55,38,45,569
ANU,4-Oct,4-Oct,internet,44,54.5,38.5,45.5,791
ANU,5-Oct,5-Oct,internet,44,54,39.5,46,912
ANU,6-Oct,6-Oct,internet,43,54,39,46,867
ANU,7-Oct,7-Oct,internet,43,54,40,46,883
ANU,8-Oct,8-Oct,internet,43,54,40,46,878
