House of Commons elections: modeling with the multivariate t density.

The following analysis comes from a data set on United Kingdom House of Commons elections, used by Katz and King, "A Statistical Model for Multiparty Electoral Data", American Political Science Review (1999), and re-analyzed by Tomz, Tucker and Wittenberg, Political Analysis (2002).  The data for this example consist of vote proportions from 1992 for 521 constituencies, for the Labor party, the Conservative Party, and the Liberal-Alliance, transformed to a 521 by 2 matrix of log-odds ratios (with the Liberal-Alliance in the denominator), as is common in the analysis of multinomial or "compositional" data (e.g., Aitchison 1986, The Statistical Analysis of Compositional Data).  Katz and King noted that the distribution of the log-odds ratios appear to be heavy-tailed relative to the normal, and model the data with a multivariate t-distribution with unknown degrees of freedom.

An undocumented distribution in WinBUGS is the multivariate t (dmt), although we can also model the data by factoring the multivariate t likelihood as a product of a marginal t density and a conditional t density, following results in Bernardo and Smith (1994, Bayesian Theory, p140) and Tong (1990, The Multivariate Normal Distribution).

For the multivariate specification (model 2, below), WinBUGS 1.3 complains when the prior on the degrees of freedom parameter is specified this way, and so we use a discrete grid prior, with point mass at a number of points roughly in the (3,60) interval.

See below for an analysis of the same data with covariates in the mean function (model 3).

1. Marginal/Conditional Model:

A uniform prior is used for the degrees of freedom parameter of the multivariate t distribution.  For the marginal/conditional specifications, we can specify the prior directly on the degrees of freedom parameter itself; I use a uniform prior on (3,60); note that for degrees of freedom parameter greater than 30, the t density is essentially indistinguishable from the normal.  With the marginal/conditional specification, WinBUGS can't update the precision matrix en bloc, and so I specify priors over each element of the precision matrix, rather than use Wishart priors.  This approach is a little unsatisfactory, since while it is straightforward to specify gamma priors for the diagonal elements of the precision matrix, we are left with the problem of specifying a prior for the off-diagonal element of the precision matrix (for which I use a Normal prior).  There is no guarantee that the resulting precision matrix is invertible, and sometimes the algorithm drifts into a region where in fact the precision matrix can't be inverted (and for this reason I monitor the correlation parameter).  Tightening the prior on the off-diagonal element of the precision matrix will help in these cases.

model{
	for(i in 1:521){
		y[i,2] ~ dt(mu[2],tau22,nu);    ## marginal   
    d[i] <- y[i,2] - mu[2];
    mu12[i] <- mu[1] - prec[1,2]/prec[1,1]*d[i];
    tau12[i] <- prec[1,1]*((nu+1)/(nu+pow(d[i],2)/denom));
    y[i,1] ~ dt(mu12[i],tau12[i],nu12);   ## conditional
	}
	
	tau22 <- prec[2,2];
	denom <- prec[2,2] - prec[2,1]*prec[1,2]/prec[1,1];
	nu12 <- nu + 1;
	
	prec[1,1] <- p1; 
	p1 ~ dgamma(.1,.1);
	prec[2,2] <- p2; 
	p2 ~ dgamma(.1,.1);
	g ~ dnorm(0,.25);
	prec[1,2] <- g;
	prec[2,1] <- g;

	# convert precision to covariance matrix
	for(i in 1:2){
	  for (j in 1:2){
		    sigma[i,j] <- inverse(prec[ , ],i,j);
		}
	}
	# correlation
	rho <- sigma[1,2]/sqrt(sigma[1,1]*sigma[2,2]);
	
	# prior mean vector	
	mu[1:2] ~ dmnorm(b[],B[,]);
	# hyper-parameters, MVN prior for mean vector
	b[1] <- 0.0; b[2] <- 0.0;
	B[1,1] <- .01; B[2,2] <- .01;
	B[1,2] <- 0; B[2,1] <- 0;
	
	# prior degrees of freedom parameter
	nu ~ dunif(3,60);
}


Data 
list(y = structure(.Data = c(1.3286, 1.4732, -0.3032, -0.6634, 0.5598, 1.0113, 
	0.0978, 0.9092, 1.7351, 1.8508, 0.4546, 1.9246, 0.8811, 0.1085, 1.3717, 
	1.3182, 0.4855, 1.365, 0.639, 1.3797, 0.789, -0.5489, 1.0038, 1.7424, 
	0.4341, 1.3627, 0.7275, -0.5994, 1.6814, 2.1775, 0.2553, 0.9358, -0.7632, 
	0.3971, 1.1073, 1.2719, 1.6449, 1.7562, 0.7044, 1.6606, 0.9666, 1.3633, 
	0.6395, 1.5535, 0.5141, 1.4775, 0.9217, 1.8359, 1.0016, 1.2897, 0.7623, 
	1.6064, 0.5278, 0.968, 0.9918, 1.5467, 0.7576, 1.5379, 0.8502, 1.3205, 
	1.1052, 0.9791, 0.9166, 1.7327, 0.9358, 1.6155, 0.6266, 1.7698, 1.7425, 
	1.7208, 0.298, 1.1709, 0.8752, 1.6064, 0.6515, -0.4025, 1.1304, 0.4428, 
	0.6671, -0.1221, 1.2175, 0.8713, 1.0367, 0.8434, 0.4414, 0.0971, 1.3348, 
	1.3599, 0.7468, 1.6153, 0.9819, 1.5316, 1.5051, 1.3798, 0.4994, -0.9888, 
	0.5678, 1.9043, 1.5008, 1.3518, 0.8671, 1.2903, 0.8238, 2.029, 0.8786, 
	-0.7973, 0.7522, 1.5641, 0.6204, -0.7821, 0.9688, 0.458, 1.2122, 0.8468, 
	0.3188, -0.4962, -0.566, 0.2962, 0.9249, 0.3539, 0.7719, -0.615, 0.8181, 
	1.9623, 0.576, 1.8341, 0.4937, 2.1892, 1.4657, 1.4134, 0.5453, 0.9417, 
	1.0297, 1.2462, 1.167, 1.6209, 1.0386, 1.5236, 1.6722, 1.9934, 1.0439, 
	1.3861, 1.2076, 1.2269, 0.7567, 1.1199, 0.6312, 1.6042, 0.1673, 1.0299, 
	0.774, 1.4686, 0.4152, 1.4216, 0.9987, 0.7893, 0.4349, -0.0213, 1.0769, 
	1.8226, 1.1831, 1.5519, 0.5034, 0.0603, 0.6574, 1.6481, 0.5858, 1.3666, 
	0.2961, 1.7309, 0.3496, 1.7756, 0.3446, 1.1081, 1.2393, 1.5196, 1.3076, 
	1.5322, 1.6446, 1.6183, 0.9594, 1.4797, 1.1009, 1.5225, 1.053, 0.0266, 
	0.9092, 1.846, 1.0634, 0.3265, 1.3094, 0.9266, 1.4705, 1.4568, 1.2633, 
	0.387, 0.4639, -0.7504, 1.2456, 1.0341, 0.727, -0.2686, 1.4814, 1.047, 
	1.3254, 0.5775, 0.5026, -1.0193, 1.1339, 0.9415, 1.2405, 0.5974, 1.1783, 
	0.6952, 1.2113, 0.7619, 0.9667, 1.4638, 1.3561, 1.0153, 1.0795, 1.3245, 
	1.4967, 1.4616, 1.001, 0.1482, 1.1131, 0.03, 1.4931, 1.5959, 1.7038, 
	1.5577, 1.1027, 0.0925, 1.4321, 0.9767, 0.846, -0.0421, -0.7496, 0.2776, 
	1.623, 1.4536, 1.2952, 1.6066, 1.4248, 1.9396, 1.0815, 1.4939, 1.0663, 
	1.2602, 1.517, 1.4432, 1.1049, 0.934, 1.314, 0.6974, 1.5464, 1.9129, 
	1.4084, 1.8701, 1.4296, 1.5614, 0.8875, 0.0667, 0.6675, -0.0783, 1.2613, 
	1.0279, 1.6457, 0.2811, 1.0024, 0.2433, 0.5801, -0.7861, 0.5717, -0.1607, 
	1.3313, 0.8924, 1.0467, -0.0153, 0.6671, -0.3992, 0.687, -0.0516, 0.7028, 
	-0.7199
	, 1.0964, 0.3966, 0.8121, -0.1308, 1.3129, 1.0872, 0.662, 0.6914, 1.3355, 
	1.3467, 1.2069, 1.195, 1.0446, 1.329, 1.8101, 1.6251, 0.8455, 1.267, 
	1.9758, 1.7732, 1.1863, 0.3172, -0.2215, 0.9188, 0.9296, 0.1309, -0.3828, 
	0.6062, 1.4181, 1.7863, 1.7318, 1.1659, 1.0971, 1.7314, 1.4714, 1.3834, 
	0.4762, -0.5576, 1.4493, 0.1325, 1.5063, 0.6375, 1.2616, 0.4737, 1.3097, 
	0.3501, 1.423, 0.8516, 1.3489, 0.9727, 1.5535, 1.6365, 1.0173, -0.5851, 
	1.1539, 1.5187, 1.3454, 1.4687, 1.4146, 1.0431, 1.5571, 1.2832, 1.4776, 
	1.8236, 1.7233, 1.6961, 1.3651, 1.2724, 1.5639, 1.1493, 1.3899, 0.5968, 
	1.3548, 1.242, 1.343, 1.4179, 1.5273, 1.1654, 1.8595, 1.4929, -0.6456, 
	0.0973, 0.8507, 1.6146, 0.6608, 1.2714, 1.3138, 1.6345, 1.3153, 1.3932, 
	1.5759, 1.1283, 1.0067, 0.1107, 1.472, 1.4693, 1.6041, 1.179, 1.3006, 
	0.4211, 0.7349, 1.4017, 1.571, 1.1324, 1.3706, 1.5833, 1.5148, 1.0571, 
	1.528, 1.5489, 0.4465, 1.3332, 0.0566, 0.7853, 1.7246, 1.4654, 0.6755, 
	-0.306, 0.9051, 1.6862, 1.3322, 1.3898, 1.464, 1.557, 0.0787, 0.9106, 
	1.6244, 1.5487, 1.0035, 1.651, 1.014, 1.873, 0.9529, 1.1444, 1.0059, 
	1.5041, 1.3344, 0.307, 0.6381, -0.9663, 0.5338, 1.499, 1.6925, 1.3376, 
	1.103, -0.4599, 0.1851, -1.978, 1.4979, 0.8457, 1.2894, 0.0707, -1.7327, 
	-0.6139
	, 1.7598, 1.8904, 0.7061, -0.3863, 0.4913, -1.2251, 1.3566, 0.3906, 
	1.6915, 1.8741, 0.9577, 1.598, 0.2396, -1.4558, 1.2998, 0.6458, 1.5388, 
	0.8859, 0.6466, 1.3234, 0.9619, 1.1507, 1.2696, 0.2357, 1.8769, 1.6894, 
	0.9128, 0.0905, -0.8428, 0.1356, 0.7271, -0.7281, 1.1114, 0.3795, 1.1966, 
	-0.3554
	, 0.9197, -0.0717, 0.9282, 0.2183, 0.637, -1.0282, 1.1116, -0.2364, 
